nm_local_votacao,ds_local_votacao_endereco,qt_aptos,qt_comparecimento,qt_abstencoes,qt_votos_nominais,qt_votos,latitude,longitude
COLÉGIO DE SANTA ÁGUEDA,PRAÇA BARÃO DE CEARÁ-MIRIM - 236,1645,1344,301,1198,24,-5.63280026,-35.42550000
ESCOLA MUNICIPAL ALZIRA DE SA PEREIRA,PROJETO SANTA AGUEDA - S/N,742,599,143,546,3,-5.49361659,-35.46062055
ESCOLA MUNICIPAL EMILIO F - DA SILVA,RIO DOS INDIOS DE CIMA - S/N,762,663,99,596,3,-5.59146192,-35.34385935
ESCOLA MUNICIPAL PROF -ª ADELE DE OLIVEIRA,RUA FLORIANO FERREIRA DA SILVA - S/N,3150,2594,556,2312,35,-5.64368545,-35.42364643
ESCOLA ESTADUAL MONSENHOR CELSO CICCO,RUA ENEAS CAVALCANTE - S/N,3012,2446,566,2186,24,-5.64512833,-35.42497677
ESCOLA MUNICIPAL DR - AUGUSTO MEIRA,RUA OLINTO JOSE MEIRA - S/N,3115,2599,516,2289,59,-5.64073095,-35.42892365
ESCOLA ESTADUAL PROFESSOR EDGAR BARBOSA,RUA AMPARO - SN,1024,843,181,753,6,-5.65108683,-35.41723418
ESCOLA MUNICIPAL VIRGILIO LUIZ,DISTRITO DE MATAS - S/N,815,714,101,647,1,-5.59891751,-35.48282119
ESCOLA MUNICIPAL DR JULIO SENNA,RUA DAS ALGAROBAS - S/N - CONJUNTO COHAB,2995,2459,536,2194,22,-5.64603706,-35.41799471
ESCOLA MUNICIPAL GONÇALO MARCELINO,DISTRITO DE OITIZEIRO - S/N,210,182,28,165,2,-5.64002828,-35.31118123
ESCOLA MUNICIPAL PEDRO JUSTINO DOS SANTOS,DISTRITO DE TAMANDUÁ S/N,848,734,114,657,1,-5.47109692,-35.38930659
ESCOLA ESTADUAL BARAO DE CEARA MIRIM,RUA PEDRO DE OLIVEIRA CORREIA - 95,2126,1752,374,1569,30,-5.63230053,-35.42435058
ESCOLA MUNICIPAL MADALENA ANTUNES PEREIRA,RUA PRESIDENTE CAFE FILHO - S/N,632,542,90,482,8,-5.63205623,-35.42265622
ESCOLA MUNICIPAL JOSE VENANCIO,DISTRITO DE VARZEA DE DENTRO - S/N,550,486,64,440,7,-5.61878844,-35.47699984
ESCOLA MUNICIPAL PROFESSORA MARIA BERNADETE BARBOSA,POVOADO DE MASSARANDUBA - S/N,1169,1017,152,913,6,-5.72204571,-35.36549491
ESCOLA MUNICIPAL MARIO PINHEIRO DA SILVA,RUA LEO VIRGILDO CAVALCANTE DE ALBUQUERQUE - S/N,1963,1595,368,1354,26,-5.64817230,-35.43370000
ESCOLA MUNICIPAL MANOEL DANTAS BARRETO,DISTRITO DE JACOCA - S/N,1012,846,166,750,7,-5.66462660,-35.45250000
CENTRO ESTADUAL DE EDUCAÇÃO PROF - RUY ANTUNES PEREIRA-CEEP,RUA RAFAEL TARGINO - S/N,73,65,8,58,1,-5.65604494,-35.42030000
IFRN - INSTITUTO FEDERAL DE CIÊNCIA E TECNOLOGIA DO RN,BR 406 - KM 145,1520,1215,305,1077,14,-5.65132555,-35.42908870
ESCOLA MUNICIPAL BRASILIANO MARQUES DE ARAUJO,PRAIA DE JACUMA - S/N,472,430,42,403,2,-5.58532454,-35.22824974
INSTITUTO IMACULADA CONCEICAO,HERACLITO VILAR - 331,1349,1116,233,978,9,-5.63514259,-35.42133012
ESCOLA MUNICIPAL ANTONIETA PEREIRA VARELA,RUA OLINTO JOSÉ MEIRA - 346,1792,1458,334,1280,29,-5.64057724,-35.42966269
C -E -I - ROSILDA RODRIGUES DUARTE,DISTRITO DE GRAVATÁ - S/N,384,332,52,285,3,-5.59501645,-35.40869537
ESCOLA MUNICIPAL HELENA RIBEIRO DANTAS,DISTRITO DE MINAMORA - S/N,333,284,49,261,1,-5.53682658,-35.43029541
ESCOLA MUNICIPAL ROTARY,RUA PRISCO ROCHA - 661,1386,1139,247,983,12,-5.64971874,-35.42744249
ESCOLA MUNICIPAL MARIA DE LOURDES DE OLIVEIRA,DISTRITO DE GRAVATA - S/N,1453,1217,236,1107,3,-5.59415225,-35.40864375
FATEX - COMPLEXO DE ENSINO,AVENIDA FREI DAMIÃO - 181,470,355,115,306,1,-5.64532217,-35.44810000
ESCOLA ESTADUAL  ENEAS CAVALCANTE,RUA MANOEL MARQUES - S/N,1895,1523,372,1324,18,-5.63966279,-35.42331864
POSTO DE SAÚDE - UBS - DE PONTA DO MATO,POVOADO DE PONTA DO MATO - S/N,555,435,120,361,1,-5.68594026,-35.46000000
ESCOLA MUNICIPAL PROFESSORA MARIA ESTER PAIVA,DISTRITO DE MASSANGANA - S/N,740,646,94,568,2,-5.64628880,-35.35113348
ESCOLA ESTADUAL GENERAL JOÃO VARELA,RUA GEN - JOÃO VARELA - S/N,766,598,168,528,6,-5.63987551,-35.42383500
ESCOLA MUNICIPAL FERNANDO P DO COUTO,DISTRITO DE TERRA DA SANTA - S/N,353,294,59,249,1,-5.63769600,-35.44777558
ESCOLA MUNICIPAL GONCALO TEIXEIRA DA SILVA,DISTRITO DE LAGOA GRANDE - S/N,796,696,100,635,1,-5.63649990,-35.38680823
ESCOLA MUNICIPAL ALCIDES CAMARA DE SOUZA,RUA ALCIDES CAMARA - 03 - CAPELA,1280,1127,153,1033,10,-5.61035947,-35.44880852
