aa_eleicao,cd_tipo_eleicao,nm_tipo_eleicao,cd_eleicao,ds_eleicao,dt_eleicao,sg_uf,cd_municipio,nm_municipio,nr_zona,nm_local_votacao,ds_local_votacao_endereco,nr_turno,ds_cargo,nr_votavel,nm_votavel,sq_candidato,qt_aptos,qt_comparecimento,qt_abstencoes,qt_votos_nominais,qt_votos,dt_carga,qt_registros
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,COLÉGIO DE SANTA ÁGUEDA,"PRAÇA BARÃO DE CEARÁ-MIRIM, 236",1,Vereador,10000,ARICELIO NASCIMENTO DA SILVA,,1645,1344,301,1198,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL PROFESSORA MARIA ESTER PAIVA,"DISTRITO DE MASSANGANA, S/N",1,Vereador,10000,ARICELIO NASCIMENTO DA SILVA,,740,646,94,568,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL MARIO PINHEIRO DA SILVA,"RUA LEO VIRGILDO CAVALCANTE DE ALBUQUERQUE, S/N",1,Vereador,10000,ARICELIO NASCIMENTO DA SILVA,,1963,1595,368,1354,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL JOSE VENANCIO,"DISTRITO DE VARZEA DE DENTRO, S/N",1,Vereador,10000,ARICELIO NASCIMENTO DA SILVA,,550,486,64,440,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL DR. AUGUSTO MEIRA,"RUA OLINTO JOSE MEIRA, S/N ",1,Vereador,10000,ARICELIO NASCIMENTO DA SILVA,,3115,2599,516,2289,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL ALCIDES CAMARA DE SOUZA,"RUA ALCIDES CAMARA, 03, CAPELA",1,Vereador,10000,ARICELIO NASCIMENTO DA SILVA,,1280,1127,153,1033,194,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,INSTITUTO IMACULADA CONCEICAO,"HERACLITO VILAR, 331",1,Vereador,10000,ARICELIO NASCIMENTO DA SILVA,,1349,1116,233,978,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL JOAQUIM FERNANDES SOBRAL,"DISTRITO DE TABUAO, S/N",1,Vereador,10000,ARICELIO NASCIMENTO DA SILVA,,520,441,79,396,6,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL BRASILIANO JERONIMO DA SILVA,"POVOADO DE SITIO, SN",1,Vereador,10000,ARICELIO NASCIMENTO DA SILVA,,711,601,110,538,3,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL MONSENHOR CELSO CICCO,"RUA ENEAS CAVALCANTE, S/N",1,Vereador,10000,ARICELIO NASCIMENTO DA SILVA,,3012,2446,566,2186,3,2020-12-21 16:55:14,1
