aa_eleicao,cd_tipo_eleicao,nm_tipo_eleicao,cd_eleicao,ds_eleicao,dt_eleicao,sg_uf,cd_municipio,nm_municipio,nr_zona,nm_local_votacao,ds_local_votacao_endereco,nr_turno,ds_cargo,nr_votavel,nm_votavel,sq_candidato,qt_aptos,qt_comparecimento,qt_abstencoes,qt_votos_nominais,qt_votos,dt_carga,qt_registros
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL MANOEL DANTAS BARRETO,"DISTRITO DE JACOCA, S/N",1,Vereador,23000,CARLOS ANDRE RIBEIRO DA SILVA,,1012,846,166,750,3,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL  ENEAS CAVALCANTE,"RUA MANOEL MARQUES, S/N",1,Vereador,23000,CARLOS ANDRE RIBEIRO DA SILVA,,1895,1523,372,1324,20,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL MADALENA ANTUNES PEREIRA,"RUA PRESIDENTE CAFE FILHO, S/N",1,Vereador,23000,CARLOS ANDRE RIBEIRO DA SILVA,,632,542,90,482,4,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,FATEX - COMPLEXO DE ENSINO,"AVENIDA FREI DAMIÃO, 181",1,Vereador,23000,CARLOS ANDRE RIBEIRO DA SILVA,,470,355,115,306,4,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL VIRGILIO LUIZ,"DISTRITO DE MATAS, S/N",1,Vereador,23000,CARLOS ANDRE RIBEIRO DA SILVA,,815,714,101,647,3,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL ANTONIETA PEREIRA VARELA,"RUA OLINTO JOSÉ MEIRA, 346",1,Vereador,23000,CARLOS ANDRE RIBEIRO DA SILVA,,1792,1458,334,1280,10,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL MARIO PINHEIRO DA SILVA,"RUA LEO VIRGILDO CAVALCANTE DE ALBUQUERQUE, S/N",1,Vereador,23000,CARLOS ANDRE RIBEIRO DA SILVA,,1963,1595,368,1354,20,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL AUGUSTO XAVIER DE GOIS,"RUA MUSSUAPE, S/N",1,Vereador,23000,CARLOS ANDRE RIBEIRO DA SILVA,,1088,917,171,839,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,IFRN - INSTITUTO FEDERAL DE CIÊNCIA E TECNOLOGIA DO RN,"BR 406, KM 145",1,Vereador,23000,CARLOS ANDRE RIBEIRO DA SILVA,,1520,1215,305,1077,11,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL SEVERINO PINHEIRO DA SILVA,"POVOADO DE MINEIROS, S/N",1,Vereador,23000,CARLOS ANDRE RIBEIRO DA SILVA,,400,352,48,326,9,2020-12-21 16:55:14,1
