aa_eleicao,cd_tipo_eleicao,nm_tipo_eleicao,cd_eleicao,ds_eleicao,dt_eleicao,sg_uf,cd_municipio,nm_municipio,nr_zona,nm_local_votacao,ds_local_votacao_endereco,nr_turno,ds_cargo,nr_votavel,nm_votavel,sq_candidato,qt_aptos,qt_comparecimento,qt_abstencoes,qt_votos_nominais,qt_votos,dt_carga,qt_registros
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL  ENEAS CAVALCANTE,"RUA MANOEL MARQUES, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,1895,1523,372,1324,9,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL GONCALO TEIXEIRA DA SILVA,"DISTRITO DE LAGOA GRANDE, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,796,696,100,635,3,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL MADALENA ANTUNES PEREIRA,"RUA PRESIDENTE CAFE FILHO, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,632,542,90,482,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL ROTARY,"RUA PRISCO ROCHA, 661",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,1386,1139,247,983,6,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,COLÉGIO DE SANTA ÁGUEDA,"PRAÇA BARÃO DE CEARÁ-MIRIM, 236",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,1645,1344,301,1198,7,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL ANTONIETA PEREIRA VARELA,"RUA OLINTO JOSÉ MEIRA, 346",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,1792,1458,334,1280,9,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL PROFESSOR EDGAR BARBOSA,"RUA AMPARO, SN",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,1024,843,181,753,5,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL PROF.ª ADELE DE OLIVEIRA,"RUA FLORIANO FERREIRA DA SILVA, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,3150,2594,556,2312,14,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL MONSENHOR CELSO CICCO,"RUA ENEAS CAVALCANTE, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,3012,2446,566,2186,14,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL GENERAL JOÃO VARELA,"RUA GEN. JOÃO VARELA, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,766,598,168,528,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL GONÇALO MARCELINO,"DISTRITO DE OITIZEIRO, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,210,182,28,165,5,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,POSTO DE SAÚDE - UBS - DE PONTA DO MATO,"POVOADO DE PONTA DO MATO, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,555,435,120,361,11,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL JOAQUIM FERNANDES SOBRAL,"DISTRITO DE TABUAO, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,520,441,79,396,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL ALZIRA DE SA PEREIRA,"PROJETO SANTA AGUEDA, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,742,599,143,546,3,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,INSTITUTO IMACULADA CONCEICAO,"HERACLITO VILAR, 331",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,1349,1116,233,978,9,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,CENTRO DE EDUCACAO RURAL CERU,"POVOADO DE COQUEIRO, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,1017,882,135,818,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,IFRN - INSTITUTO FEDERAL DE CIÊNCIA E TECNOLOGIA DO RN,"BR 406, KM 145",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,1520,1215,305,1077,14,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL MARIA DE LOURDES DE OLIVEIRA,"DISTRITO DE GRAVATA, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,1453,1217,236,1107,5,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL SERGIO VARELA SANTIAGO,"DISTRITO DE COQUEIROS, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,615,514,101,461,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL MARIO PINHEIRO DA SILVA,"RUA LEO VIRGILDO CAVALCANTE DE ALBUQUERQUE, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,1963,1595,368,1354,6,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL VIRGILIO LUIZ,"DISTRITO DE MATAS, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,815,714,101,647,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL FERNANDO P DO COUTO,"DISTRITO DE TERRA DA SANTA, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,353,294,59,249,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL PROFESSORA MARIA ESTER PAIVA,"DISTRITO DE MASSANGANA, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,740,646,94,568,6,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL ALCIDES CAMARA DE SOUZA,"RUA ALCIDES CAMARA, 03, CAPELA",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,1280,1127,153,1033,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL DR. AUGUSTO MEIRA,"RUA OLINTO JOSE MEIRA, S/N ",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,3115,2599,516,2289,18,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL BARAO DE CEARA MIRIM,"RUA PEDRO DE OLIVEIRA CORREIA, 95",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,2126,1752,374,1569,15,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL DR JULIO SENNA,"RUA DAS ALGAROBAS, S/N - CONJUNTO COHAB",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,2995,2459,536,2194,13,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL MANOEL DANTAS BARRETO,"DISTRITO DE JACOCA, S/N",1,Vereador,23123,GEISHA BEZERRA FAGUNDES DE MELO,,1012,846,166,750,20,2020-12-21 16:55:14,1
