aa_eleicao,cd_tipo_eleicao,nm_tipo_eleicao,cd_eleicao,ds_eleicao,dt_eleicao,sg_uf,cd_municipio,nm_municipio,nr_zona,nm_local_votacao,ds_local_votacao_endereco,nr_turno,ds_cargo,nr_votavel,nm_votavel,sq_candidato,qt_aptos,qt_comparecimento,qt_abstencoes,qt_votos_nominais,qt_votos,dt_carga,qt_registros
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL GENERAL JOÃO VARELA,"RUA GEN. JOÃO VARELA, S/N",1,Vereador,40777,JOÃO MARIA PEREIRA,,766,598,168,528,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL PROF.ª ADELE DE OLIVEIRA,"RUA FLORIANO FERREIRA DA SILVA, S/N",1,Vereador,40777,JOÃO MARIA PEREIRA,,3150,2594,556,2312,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL HELENA RIBEIRO DANTAS,"DISTRITO DE MINAMORA, S/N",1,Vereador,40777,JOÃO MARIA PEREIRA,,333,284,49,261,3,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,COLÉGIO DE SANTA ÁGUEDA,"PRAÇA BARÃO DE CEARÁ-MIRIM, 236",1,Vereador,40777,JOÃO MARIA PEREIRA,,1645,1344,301,1198,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL BRASILIANO JERONIMO DA SILVA,"POVOADO DE SITIO, SN",1,Vereador,40777,JOÃO MARIA PEREIRA,,711,601,110,538,6,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL PEDRO SALOMÃO,"POVOADO DE CAIANA, S/N",1,Vereador,40777,JOÃO MARIA PEREIRA,,734,610,124,561,162,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL MONSENHOR CELSO CICCO,"RUA ENEAS CAVALCANTE, S/N",1,Vereador,40777,JOÃO MARIA PEREIRA,,3012,2446,566,2186,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL SERGIO VARELA SANTIAGO,"DISTRITO DE COQUEIROS, S/N",1,Vereador,40777,JOÃO MARIA PEREIRA,,615,514,101,461,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL BRASILIANO MARQUES DE ARAUJO,"PRAIA DE JACUMA, S/N",1,Vereador,40777,JOÃO MARIA PEREIRA,,472,430,42,403,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL PROFESSOR EDGAR BARBOSA,"RUA AMPARO, SN",1,Vereador,40777,JOÃO MARIA PEREIRA,,1024,843,181,753,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL DR JULIO SENNA,"RUA DAS ALGAROBAS, S/N - CONJUNTO COHAB",1,Vereador,40777,JOÃO MARIA PEREIRA,,2995,2459,536,2194,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL DR. AUGUSTO MEIRA,"RUA OLINTO JOSE MEIRA, S/N ",1,Vereador,40777,JOÃO MARIA PEREIRA,,3115,2599,516,2289,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,CENTRO DE EDUCACAO RURAL CERU,"POVOADO DE COQUEIRO, S/N",1,Vereador,40777,JOÃO MARIA PEREIRA,,1017,882,135,818,9,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL AUGUSTO XAVIER DE GOIS,"RUA MUSSUAPE, S/N",1,Vereador,40777,JOÃO MARIA PEREIRA,,1088,917,171,839,7,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL EMILIO F. DA SILVA,"RIO DOS INDIOS DE CIMA, S/N ",1,Vereador,40777,JOÃO MARIA PEREIRA,,762,663,99,596,3,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,IFRN - INSTITUTO FEDERAL DE CIÊNCIA E TECNOLOGIA DO RN,"BR 406, KM 145",1,Vereador,40777,JOÃO MARIA PEREIRA,,1520,1215,305,1077,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL AUGUSTO XAVIER DE GOIS,"RUA JOSÉ TOMÉ, 23",1,Vereador,40777,JOÃO MARIA PEREIRA,,1204,1011,193,936,5,2020-12-21 16:55:14,1
