aa_eleicao,cd_tipo_eleicao,nm_tipo_eleicao,cd_eleicao,ds_eleicao,dt_eleicao,sg_uf,cd_municipio,nm_municipio,nr_zona,nm_local_votacao,ds_local_votacao_endereco,nr_turno,ds_cargo,nr_votavel,nm_votavel,sq_candidato,qt_aptos,qt_comparecimento,qt_abstencoes,qt_votos_nominais,qt_votos,dt_carga,qt_registros
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL DR. AUGUSTO MEIRA,"RUA OLINTO JOSE MEIRA, S/N ",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,3115,2599,516,2289,6,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL MADALENA ANTUNES PEREIRA,"RUA PRESIDENTE CAFE FILHO, S/N",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,632,542,90,482,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL ALZIRA DE SA PEREIRA,"PROJETO SANTA AGUEDA, S/N",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,742,599,143,546,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL DR JULIO SENNA,"RUA DAS ALGAROBAS, S/N - CONJUNTO COHAB",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,2995,2459,536,2194,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL BRASILIANO MARQUES DE ARAUJO,"PRAIA DE JACUMA, S/N",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,472,430,42,403,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL FERNANDO P DO COUTO,"DISTRITO DE TERRA DA SANTA, S/N",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,353,294,59,249,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL MARIA DE LOURDES DE OLIVEIRA,"DISTRITO DE GRAVATA, S/N",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,1453,1217,236,1107,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,CENTRO ESTADUAL DE EDUCAÇÃO PROF. RUY ANTUNES PEREIRA-CEEP,"RUA RAFAEL TARGINO, S/N",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,73,65,8,58,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL GENERAL JOÃO VARELA,"RUA GEN. JOÃO VARELA, S/N",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,766,598,168,528,1,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL ALCIDES CAMARA DE SOUZA,"RUA ALCIDES CAMARA, 03, CAPELA",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,1280,1127,153,1033,122,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL ANTONIETA PEREIRA VARELA,"RUA OLINTO JOSÉ MEIRA, 346",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,1792,1458,334,1280,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL VIRGILIO LUIZ,"DISTRITO DE MATAS, S/N",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,815,714,101,647,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,IFRN - INSTITUTO FEDERAL DE CIÊNCIA E TECNOLOGIA DO RN,"BR 406, KM 145",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,1520,1215,305,1077,6,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA MUNICIPAL PROF.ª ADELE DE OLIVEIRA,"RUA FLORIANO FERREIRA DA SILVA, S/N",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,3150,2594,556,2312,2,2020-12-21 16:55:14,1
2020,2,Eleição Ordinária,426,Eleições Municipais 2020,2020-11-15 00:00:00,RN,16519,CEARÁ-MIRIM,6,ESCOLA ESTADUAL BARAO DE CEARA MIRIM,"RUA PEDRO DE OLIVEIRA CORREIA, 95",1,Vereador,23234,JOSÉ ANTÔNIO DA SILVEIRA JÚNIOR,,2126,1752,374,1569,4,2020-12-21 16:55:14,1
